                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9545,                 3.6331,                 1.6914,                0.00781,                0.78326,                0.08493,                  0.045,                 1.3585,                 3.4108,                 1.3032,             0.00012861,             0.00012861,             0.00012861
                      2,                 1.6626,                 3.0082,                  1.426,                0.00916,                0.90576,                0.08453,                0.05616,                 1.3349,                 3.1293,                 1.2077,             0.00027077,             0.00027077,             0.00027077
                      3,                 1.3724,                 2.4324,                 1.2648,                0.00981,                0.90512,                 0.1321,                0.08597,                 1.1929,                 3.1016,                 1.2255,              0.0004128,              0.0004128,              0.0004128
                      4,                 1.3732,                 2.2156,                  1.233,                0.18587,                0.23447,                0.13834,                0.08527,                 1.3054,                 2.9552,                 1.1975,             0.00055459,             0.00055459,             0.00055459
                      5,                 1.2519,                 2.0884,                 1.1911,                0.01035,                0.88847,                0.13846,                0.09062,                 1.3738,                 3.2033,                 1.2683,             0.00069586,             0.00069586,             0.00069586
                      6,                 1.2803,                 1.9353,                 1.2018,                0.69181,                 0.0451,                0.14798,                0.09158,                 1.3013,                 3.0002,                 1.2358,              0.0008368,              0.0008368,              0.0008368
                      7,                 1.2375,                 1.8652,                 1.1797,                0.22297,                0.19978,                0.18398,                0.10474,                 1.3276,                 2.6538,                 1.2258,             0.00097769,             0.00097769,             0.00097769
                      8,                 1.2329,                 1.7823,                 1.1718,                0.28876,                0.32737,                0.22841,                0.13884,                 1.3363,                 2.6673,                 1.2391,              0.0011182,              0.0011182,              0.0011182
                      9,                 1.2408,                 1.7853,                 1.1692,                0.28678,                0.27698,                0.20032,                 0.1181,                 1.4014,                 2.4928,                 1.3118,              0.0012585,              0.0012585,              0.0012585
                     10,                 1.2399,                 1.7293,                 1.1888,                0.36498,                0.28394,                0.26507,                0.16519,                 1.4309,                 2.7541,                 1.3813,              0.0013986,              0.0013986,              0.0013986
                     11,                 1.2701,                 1.6517,                 1.2083,                0.46725,                0.25945,                0.25647,                0.16978,                 1.4717,                 2.9226,                 1.4362,              0.0014115,              0.0014115,              0.0014115
                     12,                 1.2288,                 1.6343,                  1.174,                0.33288,                0.31933,                0.22654,                0.13563,                 1.3915,                 2.8928,                 1.4198,              0.0014103,              0.0014103,              0.0014103
                     13,                 1.2114,                 1.6163,                 1.1765,                0.29116,                0.27888,                0.21063,                  0.127,                 1.3955,                 2.4824,                  1.445,              0.0014092,              0.0014092,              0.0014092
                     14,                 1.2201,                 1.5846,                 1.1652,                0.28519,                0.39424,                0.32225,                0.20528,                 1.3226,                 2.0503,                 1.3573,              0.0014081,              0.0014081,              0.0014081
                     15,                 1.1673,                 1.4787,                 1.1466,                0.44921,                0.35809,                0.35215,                0.22825,                 1.3444,                 1.9989,                 1.3672,              0.0014069,              0.0014069,              0.0014069
                     16,                 1.1167,                 1.3823,                 1.1207,                0.65062,                0.33603,                0.31022,                0.17475,                 1.3679,                 2.1796,                 1.3403,              0.0014057,              0.0014057,              0.0014057
                     17,                 1.1567,                 1.4536,                 1.1204,                0.35955,                0.39315,                0.32267,                 0.1968,                 1.3711,                 2.4158,                 1.3484,              0.0014044,              0.0014044,              0.0014044
                     18,                  1.102,                 1.3978,                 1.1119,                  0.326,                0.49601,                0.35762,                0.21528,                 1.3055,                 2.6371,                 1.2504,              0.0014032,              0.0014032,              0.0014032
                     19,                 1.0658,                 1.4202,                  1.106,                 0.4225,                0.43289,                0.32238,                0.19908,                 1.2107,                 2.2735,                 1.2243,              0.0014021,              0.0014021,              0.0014021
                     20,                  1.081,                 1.3213,                 1.0992,                0.34097,                 0.4302,                0.28641,                 0.1801,                 1.1968,                 2.2239,                 1.2188,              0.0014009,              0.0014009,              0.0014009
